united states	east	[]	None	None
charge	ethical_motive	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hyponym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	8
politician	politics	['hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('politician.n.01'), Synset('leader.n.01'), Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('social_relation.n.01'), Synset('politics.n.01')]	8
charge	news	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('speech_act.n.01'), Synset('promise.n.01'), Synset('commitment.n.04'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.02')]	10
vote	agnew	[]	None	None
united states	media	[]	None	None
plan	agency	['hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('plan.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('unit.n.03'), Synset('administrative_unit.n.01'), Synset('agency.n.01')]	11
vote	east	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym']	[Synset('vote.n.01'), Synset('choice.n.02'), Synset('action.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('relation.n.01'), Synset('position.n.07'), Synset('direction.n.02'), Synset('compass_point.n.01'), Synset('cardinal_compass_point.n.01'), Synset('east.n.01')]	12
vote	conflict	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('vote.n.01'), Synset('choice.n.02'), Synset('action.n.01'), Synset('act.n.02'), Synset('group_action.n.01'), Synset('conflict.n.01')]	5
election	new	[]	None	-1
charge	spiro	[]	None	None
say	nj	[]	None	-1
party	hindrance	['holonym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('party.n.01'), Synset('political_system.n.01'), Synset('social_group.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('act.n.02'), Synset('hindrance.n.03')]	8
state	government	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('state.n.01'), Synset('administrative_district.n.01'), Synset('district.n.01'), Synset('region.n.03'), Synset('location.n.01'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('polity.n.02'), Synset('government.n.01')]	13
politician	theodore	[]	None	None
united states	interference	[]	None	None
say	state	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('say.n.01'), Synset('opportunity.n.01'), Synset('possibility.n.02'), Synset('being.n.01'), Synset('state.n.02'), Synset('attribute.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('district.n.01'), Synset('administrative_district.n.01'), Synset('state.n.01')]	14
nixon	middle	[]	None	-1
state	conflict	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('state.n.01'), Synset('administrative_district.n.01'), Synset('district.n.01'), Synset('region.n.03'), Synset('location.n.01'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('psychological_feature.n.01'), Synset('event.n.01'), Synset('group_action.n.01'), Synset('conflict.n.01')]	12
charge	assault	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym']	[Synset('charge.n.01'), Synset('attack.n.01'), Synset('operation.n.05'), Synset('activity.n.01'), Synset('act.n.02'), Synset('group_action.n.01'), Synset('military_action.n.01'), Synset('battle.n.01'), Synset('assault.n.01')]	8
say	governor	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym', 'hyponym']	[Synset('say.n.01'), Synset('opportunity.n.01'), Synset('possibility.n.02'), Synset('being.n.01'), Synset('state.n.02'), Synset('attribute.n.02'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('leader.n.01'), Synset('politician.n.01'), Synset('governor.n.01')]	12
united states	assaults	[]	None	None
politician	newark	[]	None	-1
party	new	[]	None	-1
nixon	states	[]	None	-1
state	center	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('state.n.01'), Synset('administrative_district.n.01'), Synset('district.n.01'), Synset('region.n.03'), Synset('area.n.01'), Synset('center.n.01')]	5
state	israeliarab	[]	None	None
say	israeliarab	[]	None	None
party	united	[]	None	-1
election	agnew	[]	None	None
election	assault	['hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym']	[Synset('election.n.01'), Synset('vote.n.02'), Synset('group_action.n.01'), Synset('military_action.n.01'), Synset('battle.n.01'), Synset('assault.n.01')]	5
united states	united	[]	None	None
say	center	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('say.n.01'), Synset('opportunity.n.01'), Synset('possibility.n.02'), Synset('being.n.01'), Synset('state.n.02'), Synset('attribute.n.02'), Synset('abstraction.n.06'), Synset('entity.n.01'), Synset('physical_entity.n.01'), Synset('object.n.01'), Synset('location.n.01'), Synset('region.n.03'), Synset('area.n.01'), Synset('center.n.01')]	13
vote	reporter	['hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'holonym', 'hypernym', 'hypernym']	[Synset('vote.n.01'), Synset('choice.n.02'), Synset('action.n.01'), Synset('act.n.02'), Synset('event.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('people.n.01'), Synset('person.n.01'), Synset('communicator.n.01'), Synset('reporter.n.01')]	11
united states	conflict	[]	None	None
united states	newark	[]	None	None
politician	new	[]	None	-1
party	newark	[]	None	-1
nixon	east	[]	None	-1
vote	newark	[]	None	-1
